Trade number,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net PnL USD,Net PnL %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %
162,Entry long,2020-12-09 16:30,BUY,73.68,149.45,11011.476,182.33,1.66,204.75,1.86,-231.65,-2.10,10455.87,10.46
163,Exit long,2020-12-10 16:15,EXIT_LONG,76.39,145.87,11045.2764,97.73,0.88,107.94,0.98,-105.03,-0.95,10553.6,10.55
163,Entry long,2020-12-10 13:30,BUY,75.72,145.87,11045.2764,97.73,0.88,107.94,0.98,-105.03,-0.95,10553.6,10.55
164,Exit long,2020-12-10 16:15,EXIT_LONG,76.39,146.79,11037.1401,176.15,1.60,186.42,1.69,-19.08,-0.17,10729.75,10.73
164,Entry long,2020-12-10 14:30,BUY,75.19,146.79,11037.1401,176.15,1.60,186.42,1.69,-19.08,-0.17,10729.75,10.73
165,Exit long,2020-12-10 16:15,EXIT_LONG,76.39,146.72,11039.2128,168.73,1.53,179,1.62,-26.41,-0.24,10898.48,10.90
165,Entry long,2020-12-10 14:45,BUY,75.24,146.72,11039.2128,168.73,1.53,179,1.62,-26.41,-0.24,10898.48,10.90
166,Exit long,2020-12-10 20:15,EXIT_LONG,75.41,148.22,11088.3382,88.93,0.80,102.27,0.92,-103.75,-0.94,10987.41,10.99
166,Entry long,2020-12-10 18:15,BUY,74.81,148.22,11088.3382,88.93,0.80,102.27,0.92,-103.75,-0.94,10987.41,10.99
167,Exit long,2020-12-10 20:15,EXIT_LONG,75.41,148.49,11090.7181,106.91,0.96,120.28,1.08,-86.12,-0.78,11094.32,11.09
167,Entry long,2020-12-10 18:30,BUY,74.69,148.49,11090.7181,106.91,0.96,120.28,1.08,-86.12,-0.78,11094.32,11.09
168,Exit long,2020-12-10 20:15,EXIT_LONG,75.41,148.72,11082.6144,132.36,1.19,145.75,1.32,-46.1,-0.42,11226.68,11.23
168,Entry long,2020-12-10 18:45,BUY,74.52,148.72,11082.6144,132.36,1.19,145.75,1.32,-46.1,-0.42,11226.68,11.23
169,Exit long,2020-12-11 16:15,EXIT_LONG,71.7,151.49,11123.9107,-262.08,-2.36,57.57,0.52,-462.04,-4.15,10964.6,10.96
169,Entry long,2020-12-11 08:30,BUY,73.43,151.49,11123.9107,-262.08,-2.36,57.57,0.52,-462.04,-4.15,10964.6,10.96
170,Exit long,2020-12-11 16:15,EXIT_LONG,71.7,151.69,11121.9108,-245.74,-2.21,18.2,0.16,-445.97,-4.01,10718.86,10.72
170,Entry long,2020-12-11 08:45,BUY,73.32,151.69,11121.9108,-245.74,-2.21,18.2,0.16,-445.97,-4.01,10718.86,10.72
171,Exit long,2020-12-11 16:15,EXIT_LONG,71.7,152.62,11101.5788,-158.72,-1.43,106.83,0.96,-360.18,-3.24,10560.14,10.56
171,Entry long,2020-12-11 09:00,BUY,72.74,152.62,11101.5788,-158.72,-1.43,106.83,0.96,-360.18,-3.24,10560.14,10.56
172,Exit long,2020-12-14 21:45,EXIT_LONG,80.64,139.01,11055.4653,154.3,1.40,183.49,1.66,-58.38,-0.53,10714.44,10.71
172,Entry long,2020-12-14 19:15,BUY,79.53,139.01,11055.4653,154.3,1.40,183.49,1.66,-58.38,-0.53,10714.44,10.71
173,Exit long,2020-12-14 21:45,EXIT_LONG,80.64,138.82,11055.6248,138.82,1.26,167.97,1.52,-73.57,-0.67,10853.26,10.85
173,Entry long,2020-12-14 19:30,BUY,79.64,138.82,11055.6248,138.82,1.26,167.97,1.52,-73.57,-0.67,10853.26,10.85
174,Exit long,2020-12-14 21:45,EXIT_LONG,80.64,138.98,11054.4692,152.88,1.38,182.06,1.65,-59.76,-0.54,11006.14,11.01
174,Entry long,2020-12-14 19:45,BUY,79.54,138.98,11054.4692,152.88,1.38,182.06,1.65,-59.76,-0.54,11006.14,11.01
175,Exit long,2020-12-15 18:45,EXIT_LONG,82.04,137.07,11099.9286,145.29,1.31,196.01,1.77,-80.87,-0.73,11151.43,11.15
175,Entry long,2020-12-15 13:45,BUY,80.98,137.07,11099.9286,145.29,1.31,196.01,1.77,-80.87,-0.73,11151.43,11.15
176,Exit long,2020-12-16 10:15,EXIT_LONG,80.59,138.33,11113.4322,34.58,0.31,42.88,0.39,-280.81,-2.53,11186.02,11.19
176,Entry long,2020-12-16 08:15,BUY,80.34,138.33,11113.4322,34.58,0.31,42.88,0.39,-280.81,-2.53,11186.02,11.19
177,Exit long,2020-12-16 10:15,EXIT_LONG,80.59,139.57,11104.1892,143.76,1.29,152.13,1.37,-174.46,-1.57,11329.77,11.33
177,Entry long,2020-12-16 08:30,BUY,79.56,139.57,11104.1892,143.76,1.29,152.13,1.37,-174.46,-1.57,11329.77,11.33
178,Exit long,2020-12-16 10:15,EXIT_LONG,80.59,139.12,11111.5144,100.17,0.90,108.51,0.98,-217.03,-1.95,11429.94,11.43
178,Entry long,2020-12-16 08:45,BUY,79.87,139.12,11111.5144,100.17,0.90,108.51,0.98,-217.03,-1.95,11429.94,11.43
179,Exit long,2020-12-19 01:30,EXIT_LONG,106.02,107.2,11142.368,222.98,2.00,280.86,2.52,-138.29,-1.24,11652.92,11.65
179,Entry long,2020-12-18 22:15,BUY,103.94,107.2,11142.368,222.98,2.00,280.86,2.52,-138.29,-1.24,11652.92,11.65
180,Exit long,2020-12-19 01:30,EXIT_LONG,106.02,106.94,11150.6338,187.15,1.68,244.89,2.20,-115.5,-1.04,11840.06,11.84
180,Entry long,2020-12-18 22:30,BUY,104.27,106.94,11150.6338,187.15,1.68,244.89,2.20,-115.5,-1.04,11840.06,11.84
181,Exit long,2020-12-20 23:45,EXIT_LONG,116.98,98.32,11182.9168,318.56,2.85,327.41,2.93,-23.6,-0.21,12158.62,12.16
181,Entry long,2020-12-20 21:30,BUY,113.74,98.32,11182.9168,318.56,2.85,327.41,2.93,-23.6,-0.21,12158.62,12.16
182,Exit long,2020-12-20 23:45,EXIT_LONG,116.98,98.32,11187.8328,313.64,2.80,322.49,2.88,-1.97,-0.02,12472.26,12.47
182,Entry long,2020-12-20 21:45,BUY,113.79,98.32,11187.8328,313.64,2.80,322.49,2.88,-1.97,-0.02,12472.26,12.47
183,Exit long,2020-12-21 08:15,EXIT_LONG,116.12,100.01,11246.1245,367.04,3.26,385.04,3.42,-18,-0.16,12839.29,12.84
183,Entry long,2020-12-21 06:15,BUY,112.45,100.01,11246.1245,367.04,3.26,385.04,3.42,-18,-0.16,12839.29,12.84
184,Exit long,2020-12-22 05:45,EXIT_LONG,105.86,100.13,11286.6536,-686.89,-6.09,112.15,0.99,-1242.61,-11.01,12152.4,12.15
184,Entry long,2020-12-21 17:00,BUY,112.72,100.13,11286.6536,-686.89,-6.09,112.15,0.99,-1242.61,-11.01,12152.4,12.15
185,Exit long,2020-12-22 05:45,EXIT_LONG,105.86,100.84,11273.912,-598.99,-5.31,134.12,1.19,-1158.65,-10.28,11553.41,11.55
185,Entry long,2020-12-21 17:15,BUY,111.8,100.84,11273.912,-598.99,-5.31,134.12,1.19,-1158.65,-10.28,11553.41,11.55
186,Exit long,2020-12-22 05:45,EXIT_LONG,105.86,100.52,11287.3908,-646.34,-5.73,84.44,0.75,-1204.23,-10.67,10907.07,10.91
186,Entry long,2020-12-21 17:30,BUY,112.29,100.52,11287.3908,-646.34,-5.73,84.44,0.75,-1204.23,-10.67,10907.07,10.91
187,Exit long,2020-12-22 17:00,EXIT_LONG,102.49,110.01,11090.1081,184.82,1.67,196.92,1.78,-270.62,-2.44,11091.89,11.09
187,Entry long,2020-12-22 15:45,BUY,100.81,110.01,11090.1081,184.82,1.67,196.92,1.78,-270.62,-2.44,11091.89,11.09
188,Exit long,2020-12-22 17:00,EXIT_LONG,102.49,110.8,11076.676,279.22,2.52,291.4,2.63,-179.5,-1.62,11371.1,11.37
188,Entry long,2020-12-22 16:15,BUY,99.97,110.8,11076.676,279.22,2.52,291.4,2.63,-179.5,-1.62,11371.1,11.37
189,Exit long,2020-12-22 17:00,EXIT_LONG,102.49,111.33,11069.5419,340.67,3.08,352.92,3.19,-92.4,-0.83,11711.77,11.71
189,Entry long,2020-12-22 16:30,BUY,99.43,111.33,11069.5419,340.67,3.08,352.92,3.19,-92.4,-0.83,11711.77,11.71
190,Exit long,2020-12-23 20:45,EXIT_LONG,109.59,107.81,11169.116,645.78,5.78,791.33,7.08,-113.2,-1.01,12357.55,12.36
190,Entry long,2020-12-23 19:15,BUY,103.6,107.81,11169.116,645.78,5.78,791.33,7.08,-113.2,-1.01,12357.55,12.36
191,Exit long,2020-12-23 20:45,EXIT_LONG,109.59,107.53,11172.367,611.85,5.48,757.01,6.78,-58.07,-0.52,12969.4,12.97
191,Entry long,2020-12-23 20:15,BUY,103.9,107.53,11172.367,611.85,5.48,757.01,6.78,-58.07,-0.52,12969.4,12.97
192,Exit long,2020-12-24 07:00,EXIT_LONG,104.69,112.27,11293.2393,460.31,4.08,685.97,6.07,-601.77,-5.33,13429.71,13.43
192,Entry long,2020-12-24 06:15,BUY,100.59,112.27,11293.2393,460.31,4.08,685.97,6.07,-601.77,-5.33,13429.71,13.43
193,Exit long,2020-12-24 07:00,EXIT_LONG,104.69,112.81,11290.0248,520.05,4.61,746.8,6.61,-121.83,-1.08,13949.76,13.95
193,Entry long,2020-12-24 06:30,BUY,100.08,112.81,11290.0248,520.05,4.61,746.8,6.61,-121.83,-1.08,13949.76,13.95
194,Exit long,2020-12-27 21:45,EXIT_LONG,131.03,88.89,11394.8091,252.45,2.22,276.45,2.43,-560.9,-4.92,14202.21,14.20
194,Entry long,2020-12-27 19:45,BUY,128.19,88.89,11394.8091,252.45,2.22,276.45,2.43,-560.9,-4.92,14202.21,14.20
195,Exit long,2020-12-27 21:45,EXIT_LONG,131.03,90.19,11377.4685,440.13,3.87,464.48,4.08,-163.24,-1.43,14642.34,14.64
195,Entry long,2020-12-27 20:15,BUY,126.15,90.19,11377.4685,440.13,3.87,464.48,4.08,-163.24,-1.43,14642.34,14.64
196,Exit long,2020-12-27 21:45,EXIT_LONG,131.03,90.06,11378.1804,422.38,3.71,446.7,3.93,-70.25,-0.62,15064.72,15.06
196,Entry long,2020-12-27 20:30,BUY,126.34,90.06,11378.1804,422.38,3.71,446.7,3.93,-70.25,-0.62,15064.72,15.06
197,Exit long,2020-12-28 07:15,EXIT_LONG,128.92,91.73,11500.1901,325.64,2.83,398.11,3.46,-136.68,-1.19,15390.36,15.39
197,Entry long,2020-12-28 05:00,BUY,125.37,91.73,11500.1901,325.64,2.83,398.11,3.46,-136.68,-1.19,15390.36,15.39
198,Exit long,2020-12-28 07:15,EXIT_LONG,128.92,91.79,11503.1228,330.44,2.87,402.96,3.50,-132.18,-1.15,15720.8,15.72
198,Entry long,2020-12-28 05:15,BUY,125.32,91.79,11503.1228,330.44,2.87,402.96,3.50,-132.18,-1.15,15720.8,15.72
199,Exit long,2020-12-28 07:15,EXIT_LONG,128.92,91.66,11510.6628,306.14,2.66,378.56,3.29,-10.08,-0.09,16026.95,16.03
199,Entry long,2020-12-28 05:30,BUY,125.58,91.66,11510.6628,306.14,2.66,378.56,3.29,-10.08,-0.09,16026.95,16.03
200,Exit long,2020-12-29 10:30,EXIT_LONG,129,89.72,11604.3848,-30.5,-0.26,187.51,1.62,-359.78,-3.10,15996.44,16.00
200,Entry long,2020-12-29 06:00,BUY,129.34,89.72,11604.3848,-30.5,-0.26,187.51,1.62,-359.78,-3.10,15996.44,16.00
201,Exit long,2020-12-29 10:30,EXIT_LONG,129,91.57,11574.448,238.08,2.06,273.79,2.37,-97.98,-0.85,16234.52,16.23
201,Entry long,2020-12-29 09:00,BUY,126.4,91.57,11574.448,238.08,2.06,273.79,2.37,-97.98,-0.85,16234.52,16.23
