Trade #,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
145,Entry long,12/4/2020 21:45,BUY,82.0300,136.3948,11188.4686,-197.77,-0.20,1.36,0,-576.95,-0.58,11488.97,11.49
146,Exit long,12/5/2020 00:45,EXIT_LONG,80.5800,137.0706,11045.1518,-130.22,-0.13,13.71,0.01,-511.27,-0.51,11358.75,11.36
146,Entry long,12/4/2020 22:00,BUY,81.5300,137.0706,11175.3689,-130.22,-0.13,13.71,0.01,-511.27,-0.51,11358.75,11.36
147,Exit long,12/6/2020 12:00,EXIT_LONG,82.9400,135.3906,11229.2945,93.42,0.09,97.48,0.10,-60.93,-0.06,11452.17,11.45
147,Entry long,12/6/2020 09:45,BUY,82.2500,135.3906,11135.8750,93.42,0.09,97.48,0.10,-60.93,-0.06,11452.17,11.45
148,Exit long,12/6/2020 12:00,EXIT_LONG,82.9400,135.7074,11255.5747,122.14,0.12,126.21,0.13,-31.21,-0.03,11574.31,11.57
148,Entry long,12/6/2020 10:15,BUY,82.0400,135.7074,11133.4380,122.14,0.12,126.21,0.13,-31.21,-0.03,11574.31,11.57
149,Exit long,12/6/2020 12:00,EXIT_LONG,82.9400,135.9413,11274.9686,146.82,0.15,150.89,0.15,0,0,11721.12,11.72
149,Entry long,12/6/2020 11:30,BUY,81.8600,135.9413,11128.1520,146.82,0.15,150.89,0.15,0,0,11721.12,11.72
150,Exit long,12/8/2020 14:00,EXIT_LONG,81.1400,136.6118,11084.6807,-87.43,-0.09,15.03,0.02,-386.61,-0.39,11633.69,11.63
150,Entry long,12/8/2020 09:30,BUY,81.7800,136.6118,11172.1123,-87.43,-0.09,15.03,0.02,-386.61,-0.39,11633.69,11.63
151,Exit long,12/8/2020 14:00,EXIT_LONG,81.1400,138.2744,11219.5817,62.22,0.06,77.43,0.08,-240.60,-0.24,11695.91,11.70
151,Entry long,12/8/2020 09:45,BUY,80.6900,138.2744,11157.3582,62.22,0.06,77.43,0.08,-240.60,-0.24,11695.91,11.70
152,Exit long,12/8/2020 14:00,EXIT_LONG,81.1400,138.3894,11228.9187,73.35,0.07,88.57,0.09,-229.73,-0.23,11769.26,11.77
152,Entry long,12/8/2020 10:00,BUY,80.6100,138.3894,11155.5723,73.35,0.07,88.57,0.09,-229.73,-0.23,11769.26,11.77
153,Exit long,12/8/2020 18:00,EXIT_LONG,79.8900,140.1847,11199.3557,22.43,0.02,54.67,0.05,-264.95,-0.26,11791.69,11.79
153,Entry long,12/8/2020 16:00,BUY,79.7300,140.1847,11176.9261,22.43,0.02,54.67,0.05,-264.95,-0.26,11791.69,11.79
154,Exit long,12/8/2020 18:00,EXIT_LONG,79.8900,143.0308,11426.7326,274.62,0.27,307.52,0.31,-18.59,-0.02,12066.31,12.07
154,Entry long,12/8/2020 16:15,BUY,77.9700,143.0308,11152.1134,274.62,0.27,307.52,0.31,-18.59,-0.02,12066.31,12.07
155,Exit long,12/9/2020 00:30,EXIT_LONG,77.5100,144.1553,11173.4753,-33.16,-0.03,86.49,0.09,-335.88,-0.34,12033.15,12.03
155,Entry long,12/8/2020 20:45,BUY,77.7400,144.1553,11206.6310,-33.16,-0.03,86.49,0.09,-335.88,-0.34,12033.15,12.03
156,Exit long,12/9/2020 00:30,EXIT_LONG,77.5100,144.9914,11238.2826,39.15,0.04,159.49,0.16,-265.33,-0.27,12072.30,12.07
156,Entry long,12/8/2020 21:00,BUY,77.2400,144.9914,11199.1349,39.15,0.04,159.49,0.16,-265.33,-0.27,12072.30,12.07
157,Exit long,12/9/2020 00:30,EXIT_LONG,77.5100,146.8891,11385.3715,221.80,0.22,221.80,0.22,-86.66,-0.09,12294.10,12.29
157,Entry long,12/8/2020 23:00,BUY,76,146.8891,11163.5690,221.80,0.22,221.80,0.22,-86.66,-0.09,12294.10,12.29
158,Exit long,12/9/2020 03:15,EXIT_LONG,76.7100,148.6158,11400.3186,170.91,0.17,175.37,0.18,-59.45,-0.06,12465.01,12.47
158,Entry long,12/9/2020 01:15,BUY,75.5600,148.6158,11229.4104,170.91,0.17,175.37,0.18,-59.45,-0.06,12465.01,12.47
159,Exit long,12/9/2020 09:30,EXIT_LONG,74.9000,151.1220,11319.0398,72.54,0.07,122.41,0.12,-346.07,-0.35,12537.55,12.54
159,Entry long,12/9/2020 08:00,BUY,74.4200,151.1220,11246.5013,72.54,0.07,122.41,0.12,-346.07,-0.35,12537.55,12.54
160,Exit long,12/9/2020 09:30,EXIT_LONG,74.9000,152.4839,11421.0464,186.03,0.19,208.90,0.21,-236.35,-0.24,12723.58,12.72
160,Entry long,12/9/2020 08:30,BUY,73.6800,152.4839,11235.0160,186.03,0.19,208.90,0.21,-236.35,-0.24,12723.58,12.72
161,Exit long,12/10/2020 08:15,EXIT_LONG,76.3900,148.8690,11372.1004,99.74,0.10,110.16,0.11,-107.19,-0.11,12823.32,12.82
161,Entry long,12/10/2020 05:30,BUY,75.7200,148.8690,11272.3582,99.74,0.10,110.16,0.11,-107.19,-0.11,12823.32,12.82
162,Exit long,12/10/2020 08:15,EXIT_LONG,76.3900,149.8134,11444.2442,179.78,0.18,190.26,0.19,-19.48,-0.02,13003.10,13
162,Entry long,12/10/2020 06:30,BUY,75.1900,149.8134,11264.4681,179.78,0.18,190.26,0.19,-19.48,-0.02,13003.10,13
163,Exit long,12/10/2020 08:15,EXIT_LONG,76.3900,149.7337,11438.1552,172.19,0.17,182.68,0.18,-26.95,-0.03,13175.29,13.18
163,Entry long,12/10/2020 06:45,BUY,75.2400,149.7337,11265.9615,172.19,0.17,182.68,0.18,-26.95,-0.03,13175.29,13.18
164,Exit long,12/10/2020 12:15,EXIT_LONG,75.4100,151.2836,11408.2995,90.77,0.09,108.92,0.11,-105.90,-0.11,13266.06,13.27
164,Entry long,12/10/2020 10:15,BUY,74.8100,151.2836,11317.5294,90.77,0.09,108.92,0.11,-105.90,-0.11,13266.06,13.27
165,Exit long,12/10/2020 12:15,EXIT_LONG,75.4100,151.4983,11424.4902,109.08,0.11,127.26,0.13,-87.87,-0.09,13375.14,13.38
165,Entry long,12/10/2020 10:30,BUY,74.6900,151.4983,11315.4114,109.08,0.11,127.26,0.13,-87.87,-0.09,13375.14,13.38
166,Exit long,12/10/2020 12:15,EXIT_LONG,75.4100,151.7789,11445.6499,135.08,0.14,153.30,0.15,-47.05,-0.05,13510.23,13.51
166,Entry long,12/10/2020 10:45,BUY,74.5200,151.7789,11310.5667,135.08,0.14,153.30,0.15,-47.05,-0.05,13510.23,13.51
167,Exit long,12/11/2020 08:15,EXIT_LONG,71.7000,154.5829,11083.5942,-267.43,-0.27,58.74,0.06,-471.48,-0.47,13242.80,13.24
167,Entry long,12/11/2020 00:30,BUY,73.4300,154.5829,11351.0226,-267.43,-0.27,58.74,0.06,-471.48,-0.47,13242.80,13.24
168,Exit long,12/11/2020 08:15,EXIT_LONG,71.7000,154.7895,11098.4086,-250.76,-0.25,18.57,0.02,-455.08,-0.46,12992.04,12.99
168,Entry long,12/11/2020 00:45,BUY,73.3200,154.7895,11349.1676,-250.76,-0.25,18.57,0.02,-455.08,-0.46,12992.04,12.99
169,Exit long,12/11/2020 08:15,EXIT_LONG,71.7000,155.7834,11169.6732,-162.01,-0.16,109.05,0.11,-367.65,-0.37,12830.02,12.83
169,Entry long,12/11/2020 01:00,BUY,72.7400,155.7834,11331.6879,-162.01,-0.16,109.05,0.11,-367.65,-0.37,12830.02,12.83
170,Exit long,12/14/2020 13:45,EXIT_LONG,80.6400,141.8710,11440.4792,157.48,0.16,187.27,0.19,-59.59,-0.06,12987.50,12.99
170,Entry long,12/14/2020 11:15,BUY,79.5300,141.8710,11283.0024,157.48,0.16,187.27,0.19,-59.59,-0.06,12987.50,12.99
171,Exit long,12/14/2020 13:45,EXIT_LONG,80.6400,141.6964,11426.4013,141.70,0.14,171.45,0.17,-75.10,-0.08,13129.20,13.13
171,Entry long,12/14/2020 11:30,BUY,79.6400,141.6964,11284.7048,141.70,0.14,171.45,0.17,-75.10,-0.08,13129.20,13.13
172,Exit long,12/14/2020 13:45,EXIT_LONG,80.6400,141.8372,11437.7481,156.02,0.16,185.81,0.19,-60.99,-0.06,13285.22,13.29
172,Entry long,12/14/2020 11:45,BUY,79.5400,141.8372,11281.7273,156.02,0.16,185.81,0.19,-60.99,-0.06,13285.22,13.29
