time,close,trend,rv20,hurst,causal_state,causal_label,causal_conf,fullsample_state
1779652800,76668.4,0.0007345794471781178,0.0021872399032062183,0.5143840153636267,2,Bull/Calm (trending),0.8747375947339552,1
1779656400,76151.14,0.0006217225078295307,0.002633664456159925,0.5414271075707154,2,Bull/Calm (trending),0.9614528652008065,1
1779660000,76803.99,0.0005358559517659843,0.0033142943724397125,0.511142903001483,2,Bull/Calm (trending),0.9927690946397387,1
1779663600,77064.96,0.00046722721775041326,0.0033895707731528488,0.5264979441259716,2,Bull/Calm (trending),0.997148985005201,1
1779667200,77153.01,0.00039528137664555154,0.003395642196542571,0.4364592804117813,2,Bull/Calm (trending),0.9992865122677028,1
1779670800,76945.27,0.00033302232770764096,0.00345753246197828,0.4203263196483776,2,Bull/Calm (trending),0.9993303852161746,1
1779674400,77108.77,0.0002928936519240193,0.0034566735736685774,0.42091940360527047,2,Bull/Calm (trending),0.9993721391608588,1
1779678000,77026.67,0.00024259462486507768,0.0034174156045597716,0.419226585462664,2,Bull/Calm (trending),0.99941062523438,1
1779681600,77391.07,0.0002026447722314189,0.003567434017341455,0.4227586685310695,2,Bull/Calm (trending),0.9993498045277248,1
1779685200,77407.0,0.00016093303744291396,0.0035328926347554714,0.4287292225874193,2,Bull/Calm (trending),0.9994050404865003,1
1779688800,77419.87,0.00013560998405070122,0.003502730104884388,0.42515659964963753,2,Bull/Calm (trending),0.9993965718729102,1
1779692400,77401.12,0.00011248198553498523,0.0034849619372806936,0.4509551334871941,2,Bull/Calm (trending),0.9994991582733508,1
1779696000,77456.94,0.0001679672816952448,0.003430311085605389,0.4517525395785376,2,Bull/Calm (trending),0.999540439845434,1
1779699600,77604.56,0.00020150292313422978,0.003291484060441397,0.4597165545236537,2,Bull/Calm (trending),0.9996015784206076,1
1779703200,77545.65,0.0002159179703374639,0.003100336327397072,0.45745658901329384,2,Bull/Calm (trending),0.9996593136166435,1
1779706800,77357.5,0.00022690006963025072,0.003151020200550708,0.4634239996943121,2,Bull/Calm (trending),0.9996442859810132,1
1779710400,77367.98,0.00024103836267472942,0.003055853677857151,0.4656866390922648,2,Bull/Calm (trending),0.9996647783344258,1
1779714000,77341.05,0.0002553334785441794,0.0030609435709913744,0.4615658593561289,2,Bull/Calm (trending),0.9996607832095485,1
1779717600,77714.0,0.00028469551872027595,0.0032064466106281257,0.46724296918425945,2,Bull/Calm (trending),0.9996010609875218,1
1779721200,77628.82,0.00030284767758556504,0.0032254079723403163,0.4842256184095581,2,Bull/Calm (trending),0.9995398344559782,1
1779724800,77735.69,0.0003257652384070382,0.0031975898226883834,0.47009915425540366,2,Bull/Calm (trending),0.9995692843081918,1
1779728400,77564.01,0.0003389452285145016,0.0027719160249647613,0.4685600927853862,2,Bull/Calm (trending),0.9996761815263719,1
1779732000,77543.39,0.0003579915748960718,0.0021212307026652923,0.46994745116373976,2,Bull/Calm (trending),0.9997247890531148,1
1779735600,77441.86,0.00035815405040782664,0.002040416313088173,0.4970069332715639,2,Bull/Calm (trending),0.9996650366970887,1
1779739200,77273.06,0.0003485427387496237,0.002097987450677708,0.5042881029367227,2,Bull/Calm (trending),0.9996295504889028,1
1779742800,77367.03,0.00035342230707620885,0.0020060938959567285,0.49437169473831,2,Bull/Calm (trending),0.9996781718209324,1
1779746400,77116.21,0.0003545949587644334,0.0021025830895298817,0.4732425678681218,2,Bull/Calm (trending),0.9997243228991515,1
1779750000,77322.01,0.0003738757563056759,0.002167129987977769,0.5308955833273574,2,Bull/Calm (trending),0.9991329329553854,1
1779753600,76792.71,0.0003532780674126522,0.0024263860662078573,0.5182535880833677,2,Bull/Calm (trending),0.9994359658755371,1
1779757200,76756.98,0.00030961828124770227,0.002422377793739595,0.5085399405418068,2,Bull/Calm (trending),0.9995970837569996,1
1779760800,76660.0,0.0002396458849367805,0.002425223191269194,0.532209212903009,2,Bull/Calm (trending),0.9991825608437627,1
1779764400,76664.01,0.00016304237967049528,0.002427720107099388,0.530953538222492,2,Bull/Calm (trending),0.999234644853362,1
1779768000,76749.5,0.00010901215065411592,0.0024395204720163628,0.5343725286975847,2,Bull/Calm (trending),0.9990765889734692,1
1779771600,76930.01,6.668273505883401e-05,0.0024641195219531143,0.5250818666638382,2,Bull/Calm (trending),0.9993852771575927,1
1779775200,76908.01,2.0825980085619465e-05,0.0024631281288008105,0.5078749267894723,2,Bull/Calm (trending),0.9996311406799288,1
1779778800,76730.84,-2.9642990113644286e-05,0.002457979006606965,0.5098793593607701,2,Bull/Calm (trending),0.9995908655435437,1
1779782400,76726.37,-8.67975072671598e-05,0.002456111077082152,0.5352832875827982,2,Bull/Calm (trending),0.9987971787437284,1
1779786000,76672.19,-0.00017955535361520664,0.0024568934940707014,0.5072107437388841,2,Bull/Calm (trending),0.9994510897231643,1
1779789600,77430.0,-0.00018708377941233545,0.0031737629114520294,0.5089902802879865,2,Bull/Calm (trending),0.9990928974122971,1
1779793200,77183.55,-0.00019736650978670873,0.0032392224365807142,0.5296419829275494,2,Bull/Calm (trending),0.998185263209781,1
1779796800,77132.5,-0.00020513004311014312,0.0032161130244905936,0.5619755805393888,2,Bull/Calm (trending),0.9887539649741809,1
1779800400,77231.56,-0.00021945278359884065,0.0032068574122480647,0.5487510204200625,2,Bull/Calm (trending),0.9923867799663362,1
1779804000,76908.01,-0.00024480831997500364,0.0033283972536960822,0.5277099432079242,2,Bull/Calm (trending),0.9974218027297822,1
1779807600,76518.1,-0.00029799993301439395,0.0034852189676787696,0.5571897741427783,2,Bull/Calm (trending),0.9869836750769649,1
1779811200,76558.0,-0.000323038516604179,0.003473033406508578,0.5504335522337486,2,Bull/Calm (trending),0.9858468296576154,1
1779814800,75935.08,-0.00038421811374444027,0.0038478806021291345,0.5099172082932051,2,Bull/Calm (trending),0.9932800107659446,1
1779818400,75840.55,-0.00044311039628188527,0.003810399600608072,0.5224821476680671,2,Bull/Calm (trending),0.9885866243343555,1
1779822000,76052.0,-0.00048343409755338413,0.0038162426978379316,0.47260938457717655,2,Bull/Calm (trending),0.987420359804087,1
1779825600,76106.86,-0.0005133089623370784,0.003552151406570333,0.47397149740714517,2,Bull/Calm (trending),0.9884150935730168,1
1779829200,75890.0,-0.0005441154329413648,0.00359265334622436,0.473204607992796,2,Bull/Calm (trending),0.985641735674517,1
1779832800,75749.02,-0.0005807830615861132,0.0036011788800771926,0.46330675488595213,2,Bull/Calm (trending),0.9784264306958113,1
1779836400,75930.01,-0.000609940712187505,0.0036606864044144375,0.47843923150669493,2,Bull/Calm (trending),0.963306386488122,1
1779840000,76085.01,-0.000624516205627387,0.0036876414518677045,0.4792831295967077,2,Bull/Calm (trending),0.9375171273157571,1
1779843600,75877.44,-0.0006517462952340039,0.0036606773347676843,0.4741830804495961,2,Bull/Calm (trending),0.888198864109089,1
